CodigoInterno,NombreInvima,DescripcionComercial,CodigoInvima,Cum
20020,ALBASOL ® LIQUIFILM ® SOLUCION OFTALMICA,FRASCO GOTERO PLASTICO X 15 ML. EN CAJA DE CARTULINA,INVIMA 2023M-014844-R3,19912760-1
C095052,BI PRETERAX ® 5.0 MG,CAJA DE CARTÓN POR UN FRASCO CON 30 COMPRIMIDOS CON CUBIERTA PELICULAR.,INVIMA 2009M-0010209,20004571-4
C06157,TAMSULON® DUO,CAJA POR 30 CÁPSULAS DURAS EN BLÍSTER PVC ACLAR INCOLOROSIN DATOCON FILTRO UV/ ALU,INVIMA 2023M-0018007-R1,20115124-1
C999332,METILPREDNISOLONA 500 MG,CAJA POR 1 VIAL DE VIDRIO TIPO I INCOLORO. CON TAPÓN GRIS DE BROMOBUTILO Y AGRAFE DE ALUMINIO CON FLIP OFF.,INVIMA 2020M-0009196-R1,19990590-11
C095073,COVERAM® 10 MG /10MG COMPRIMIDOS,CAJA DE CARTÓN X FRASCO EN POLIPROPILENOSIN DATOX 30 COMPRIMIDOS,INVIMA 2010M-0010374,20007275-1
C320800,ZYTIGA ® 250 MG TABLETAS,CAJA CON FRASCO PLÁSTICO DE POLIETILENO DE ALTA DENSIDAD (HDPE) CON TAPA EN POLIPROPILENO (PP) A PRUEBA DE NIÑOS POR 120 TABLETAS.,INVIMA 2020M-0013333-R1,20036026-1
C153436,DEXMEDETOMIDINA 200 MCG/ 2 ML,1D1001421006101 CAJA CON 5 VIALES DE VIDRIO TIPO I POR 2 ML CON TAPON DE CLORO BUTILO GRIS Y CON TAPA DE ALUMINIO FLIP OFF Y UN SELLO DE PP EN FORMA DE DISCO AZUL.,INVIMA 2020M-0019812,20131283-1
C9991283,FLUDARA®,CAJA POR UN VIAL (CON POLVO LIOFILIZADO) DE VIDRIO TIPO I POR 50 MG,INVIMA 2022M-007196-R2,203335-2
C253465,LANCOVUL® 200 MG TABLETAS RECUBIERTAS,1L1012321002105: CAJA PLEGADIZA POR 3 BLÍSTERS ALUMINIO/ALUMINIOSIN DATOPOR 10 TABLETAS C/U,INVIMA 2019M-0019520,20103931-1
700030,ALCOHOL ANTISEPTICO,FRASCO EN PEAD POR 350 ML CON TAPA ROSCA ALUSUD BLANCA EN PPSIN DATOCON LINERSIN DATOY FUNDA.,INVIMA 2021M-011909-R2,229858-5
C254428,GEMCITABINA 10 MG / ML SOLUCIÓN INYECTABLE,COMERCIAL: CAJA DE CARTÓN LITOGRAFIADA X1 FRASCO VIAL TUBULAR PEDERNAL DE VIDRIO TIPO I INCOLORO X100 ML.. TAPÓN BROMOBUTILO COLOR GRIS OSCURO. AGRAFE DE ALUMINIO. FLIP - OFF POLIPROPILENO COLOR NARANJA. ETIQUETA E INSERTO.,INVIMA 2015M-0016472,20080049-1
C275524,LAMICTAL TABLETAS DISPERSABLE 5 MG.,CAJA POR 30 TABLETAS DISPERSABLES EN BLÍSTER DE ALUMINIO/PVC/PVDC.,INVIMA 2022M-007183-R2,215612-1
170474,ELECTROLIT®,FRASCO DE POLIPROPILENO CLASE IV CON TAPA POR 625 ML CON SABOR A FRESA-KIWI,INVIMA 2020M-0009131-R1,19993863-23
420370,NEUROBION ® INYECTABLE,CAJA CON 3 AMPOLLETAS DE VIDRIO TIPO I AMBAR DE SOLUCION I Y 3 AMPOLLETAS DE VIDRIO TIPO I AMBAR DE SOLUCION II,INVIMA 2015 M-13939-R2,19903745-8
C180212,COMPLEJO B ECAR GRAGEAS,CAJA POR 250 GRAGEAS EN BLISTER PVC/ALUMINIO.,INVIMA 2022M-002341-R4,34047-6
C9991153,CLORFENIRAMINA MALEATO JARABE 2 MG/5ML,FRASCO PET AMBAR X 120 ML USO INSTITUCIONAL,INVIMA 2015M-0003316-R1,19942216-3
C01517T,CARVEDILOL 6.25 MG TABLETAS,CAJA PLEGADIZA POR 300 TABLETAS EN BLISTER PVC-PVDC/ ALUMINIO BLANCO,INVIMA 2019M-0010098-R1,20005748-7
C635108,DORIXINA® RELAX COMPRIMIDOS RECUBIERTOS,CAJA POR 20 TABLETAS CUBIERTAS EN BLÍSTER DE ALUMINIO Y PVC/PE/PVDC TRISTAR ULTRA 250/25/120.,INVIMA 2020M-0000971-R2,19908244-17
C02422,DICLOFENACO GRAGEAS,CAJASIN DATOX 500 GRAGEAS EN BLISTER PVC/ALUMINIO,INVIMA 2022M-0003022-R2,19940375-6
C560223,TECTA® 40 MG TABLETAS,CAJA POR 28 TABLETAS DE LIBERACIÓN RETARDADA EN BLÍSTER DE ALUMINIO/ALUMINIO POR 7 TABLETAS RECUBIERTAS,INVIMA 2023M-0012987-R2,20035776-3
C290800,UROCIT-K® 10 MEQ TABLETAS DE LIBERACION PROLONGADA,CAJA X FRASCO PEAD X 100 TABLETAS DE LIBERACIÓN PROLONGADA,INVIMA 2023M-0012879-R2,20034747-5
C379079,ACETAMINOFEN TABLETAS 500MG,CAJA POR 100TABLETAS EN BLISTER PVC TRANSPARENTE Y ALUMINIO EN 10 BLISTER POR 10 TABLETAS CADA UNO.,INVIMA 2021M-006528-R4,53560-5
C420178,ENCEFABOL 600 MG,CAJA CON BLISTER PVC/PVDC/ALUMINIO POR 10 GRAGEAS.,INVIMA 2022M-13463-R4,42184-3
C465210,EXFORGE® 5/160 MG COMPRIMIDOS CON CUBIERTA PELICULAR,CAJA POR 28 COMPRIMIDOS EN BLISTER ALU/ALU (PA/AL/PVC).,INVIMA 2020M-0007062-R1,19977789-3
C275103,NINLARO® 3.0 MG,1I1013571000101 IXAZOMIB 3.0000 MG CAPSULAS DE LIBERACIÓN NO MODIFICADA ORAL (NINLARO) CAPSULA 1.0000U / CAJA X 3 - CAJA PLEGADIZA EMPAQUE MÚLTIPLE POR 3 CARTERAS BLÍSTER PACK EN PVC-ALUMINIO/ALUMINIO POR UNA CÁPSULA DURA COLOR GRIS CLARO. CADA UNA,INVIMA 2020M-0019657,20147970-2
C300086,SULZINC® - SULFATO DE ZINC (2 MG DE ZINC / ML) SOLUCIÓN ORAL,FRASCOSIN DATOPET ÁMBAR PLÁSTICO POR 80 ML CON TAPA DE SEGURIDAD EN CAJA PLEGADIZA POR UN FRASCO MÁS JERINGA DOSIFICADORA DE 10 ML,INVIMA 2023M-0010287-R1,20010881-1
C01278,BENZAC® AC GEL 5%,CAJA DE CARTÓN CON TUBO DE POLIETILENO DE BAJA DENSIDAD Y TAPA DE POLIPROPILENO POR 60GSIN DATO,INVIMA 2020M-012790-R3,40133-1
C293500,MINIRIN MELT 120 µG,CAJA POR 30 LIOFILIZADOS EN 3 BLISTER POR 10 LIOFILIZADOS ORALES CADA UNO.,INVIMA 2019M-0007827-R1,19979333-2
C050819,DOLIREN® 7.5,2H1005971004100. HIDROCODONA 7.5000 MG/PARACETAMOL 325.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (DOLIREN) TABLETA 1.0000U / CAJA X 30. (CAJA X 30 TABLETAS RECUBIERTAS EN 3 BLISTER ALU/ALU (OPA-ALUMINIO-PVC) MAS PAPEL ALUMINIO X 10 TABLETAS RECUBIERTAS C/U).,INVIMA 2023M-0018366-R1,20137593-1
135731,PRIMAX® LACA,USO INSTITUCIONAL: CAJA CON FRASCO DE VIDRIO TIPO III TRANSPARENTE POR 3 ML CON PINCEL APLICADOR.,INVIMA 2013M-0014342,20057498-3
C595170,LIDOPROCTO® SUPOSITORIOS,CAJA X 10 SUPOSITORIOS EN PELÍCULA DE POLIETILENO DE BAJA DENSIDAD.,INVIMA 2020M-012606-R3,39293-1
730024,PIPERACILINA 4G + TAZOBACTAM 0.5G POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,CAJA PLEGADIZA CON 10 FRASCOS AMPOLLA EN VIDRIO TIPO II INCOLORO POR 4.5 G C/U.,INVIMA 2022M-0006639-R2,19969105-7
C130378,DASINIB® 140MG TABLETAS RECUBIERTAS,1D1039351000100 - DASATINIB 140.00 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (DASINIB) TABLETA 1.00U / CAJA X 30. CAJA POR 30 TABLETAS RECUBIERTAS EN BLÍSTER OPA/AL/PVC - AL: 3 BLÍSTER POR 10 TABLETAS C/U,INVIMA 2022M-0020825,20169670-1
C210240,PULLMOGUAT® 1.5 MG TABLETA RECUBIERTA,1R1036221000101. CAJA POR 84 TABLETAS RECUBIERTAS EN 6 Ó 12 BLÍSTER EN ALUMINIO / ALUMINIO (OPA-ALUMINIO-PVC / ALUMINIO) POR 14 Ó 7 TABLETAS RECUBIERTAS C/U.,INVIMA 2021M-0020253,20190770-2
528241,GENTAMICINA 0.3 %,FRASCO GOTERO PLASTICO POR 6 ML,INVIMA 2023M-0001654-R3,19929683-1
C018441,CRISTALTEARS PLUS,COMERCIAL: FRASCO GOTERO DE POLIETILENO X 10 ML CON TAPA DE POLIPROPILENO EN CAJA PLEGADIZA.,INVIMA 2020M-0019762,20135524-1
C999275,DOXORUBICINA 50 MG,CAJA CON UN FRASCO AMPOLLA DE VIDRIO INCOLORO TIPO I DE 50 ML. TAPON DE CLOROBUTILO Y AGRAFE FLIP-OFF. CON POLVO LIOFILIZADO EQUIVALENTE A 50 MG DE PRINCIPIO ACTIVO.,INVIMA 2014M-0014883,20061064-1
C9990479,KETRON® 30 MG INYECTABLE,CAJA POR 5 AMPOLLAS DE VIDRIO AMBAR TIPO I POR 2 ML.,INVIMA 2018M-013316-R3,1990415-3
C130366,VIZIMPRO® 45 MG,DACOMITINIB 45.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (VIZIMPRO) TABLETA 1.0000U / CAJA X 30 - CAJA POR 30 TABLETAS RECUBIERTAS EN 3 BLÍSTERES DE ALUMINIO/POLIAMIDA-ALUMINIO-PVC. POR 10 TABLETAS RECUBIERTAS CADA UNO,INVIMA 2022M-0020837,20210111-1
C465090,KEYTRUDA® 100 MG,CAJA PLEGADIZA QUE CONTIENE 2 VIALES DE VIDRIO TIPO I POR 10 ML CONTENIENDO 4 ML DE SOLUCIÓN INYECTABLE CADA UNO. TAPÓN DE CLOROBUTILO Y SELLO FLIP-OFF DE ALUMINIO.,INVIMA 2017MBT-0017599,20085509-2
290440*I,KIDCAL ® SUSPENSION,FRASCO EN VIDRIO AMBAR TIPO III CON TAPA BLANCA EN POLIPROPILENO EN ESTUCHE DE CARTULINA POR 180ML CON COPA DOSIFICADORA.SABOR TUTTI FRUTI,INVIMA 2019M-0001645-R2,19925167-23
C9991353,EXFORGE® HCT 10/320/25 COMPRIMIDOS RECUBIERTOS CON PELÍCULA,CAJA POR 28 TABLETAS CUBIERTAS CON PELÍCULA. EN BLISTER ALUMINIO-(PA/AL/PVC) POR 7 TABLETAS CADA UNO.,INVIMA 2023M-0011477-R2,20015777-8
C005347,BRINTELLIX® 10 MG,CAJA X 14 TABLETAS RECUBIERTAS,INVIMA 2020M-0015941-R1,20088450-2
C062578,VESICARE® 10 MG TABLETAS RECUBIERTAS,PRESENTACIONES COMERCIAL: CAJA PLEGADIZA POR 20 TABLETAS RECUBIERTAS EN 2 BLÍSTER INDIVIDUALES (PVC + ALUMINIO) POR 10 TABLETAS RECUBIERTAS.,INVIMA 2021M-0017023-R1,20096230-2
C03730,ESOMED®5 MG SOBRE,CAJA QUE CONTIENE 28 SOBRES LAMINADOSSIN DATOPES-ALU-PE CON 2.55 GRAMOS,INVIMA 2019M-0018783,20135446-3
C595322,TERBUROP® JARABE,CAJA CON UN (1) FRASCO DE VIDRIO ÁMBAR TIPO III X 120 ML. TAPA METÁLICA PILFER PROOF 24 MM. INCLUYE COPA DOSIFICADORA E INSERTO.,INVIMA 2020M-010168-R3,218166-1
C290594,FEXOFENADINA TABLETA RECUBIERTA 120 MG,CAJA POR 10 TABLETAS RECUBIERTAS EN BLISTER PVC/PVDC TRANSPARENTE - ALUMINIO (IUM 1F1002991007100),INVIMA 2021M-0020036,20178033-1
C01365,BETAMETASONA 0.05% CREMA,CAJA PLEGADIZA CON TUBO COLAPSIBLE LAMINADO DE PLASTICO POR 20 G CON TAPA BLANCA DE POLIPROPILENO,INVIMA 2009M-0009231,19999832-2
C00533,IRBESARTAN TAB 150 MG TABLETAS,1I1031011002100SIN DATO IRBESARTAN 150 MG TABLETAS DE LIBERACIÓN NO MODIFICADA ORAL (LABORATORIOS ECAR) TABLETA 1 UNIDAD.SIN DATOCAJA POR 30 TABLETAS EN BLÍSTER PVC/ALUMINIO,INVIMA 2020M-0019692,20144863-1
C130573,PACLITAXEL INYECTABLE 30 MG / 5 ML,CAJA POR 1 FRASCO VIAL DE VIDRIO AMBAR TIPO I POR 5 ML CON TAPON DE BROMOBUTILO Y AGRAFE DE ALUMINIO,INVIMA 2012M-0013885,20047566-1
C465100,DIOVAN ® 160MG TABLETAS RECUBIERTAS,CAJASIN DATOXSIN DATO28SIN DATOTABLETAS RECUBIERTAS EN ENVASE PA/ALU/PVC,INVIMA 2023M-0012749-R2,20039358-3
C10466,TYSABRI®,CAJA POR 1 VIAL DE VIDRIO TIPO I TRANSPARENTE TAPÓN DE GOMA BROMOBUTILO PRECINTADO CON SELLO DE ALUMINIO Y PLÁSTICO FLIP-OFF CON 15ML DE CONCENTRADO (20MG/ML),INVIMA 2010MBT-0010796,20006016-1
670166,DECAPEPTYL® 11.25MG,CAJA POR 1 VIAL DE VIDRIO TIPO I ÁMBAR MAS AMPOLLA CON AGUA ESTÉRIL PARA INYECCIÓN POR 2 ML,INVIMA 2015M-0004541-R1,19953802-1
6730210,FLUIMUCIL ® 4 %,CAJA CON FRASCO X 120 ML. EN VIDRIO ÁMBAR TIPO III. TAPA PLÁSTICA A PRUEBA DE GIRO CON LINER PLÁSTICO. CON COPA DOSIFICADORASIN DATO,INVIMA 2021M-0013734-R1,20037079-3
C220180,CROMOGLICATO DE SODIO 2% SOLUCION NASAL,FRASCO GOTERO EN POLIETILENO DE ALTA DENSIDAD(PEAD). COLOR BLANCO. POR 10 ML,INVIMA 2022M-0005210-R2,19954188-2
C04057,HALOPERIDOL TABLETAS 5 MG,CAJA PLEGADIZA POR 2 BLISTER DE PVC TRANSPARENTE/ALUMINIO POR 10 TABLETAS CADA UNO + INSERTO.,INVIMA 2021M-0003398-R2,19940398-1
C465753,GALVUS® 50 MG COMPRIMIDOS,CAJA POR 28 TABLETAS EN BLISTER PA/ALU/PVC,INVIMA 2022M-0008064-R1,19988550-4
C023301,REAMPLA®,1P1003401001100 - PALBOCICLIB 125.0000MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL (REAMPLA) CAPSULA 1.0000U / CAJA X 21,INVIMA 2023M-0018499-R1,20145979-9
3200060,INVEGA SUSTENNA® SUSPENSIONDE LIBERACIONPROLONGADA DE 100 MG,CAJA POR UNA JERINGA PRELLENADA DE 1 ML DE SUSPENSIÓN + DOS AGUJAS 1.5 22 G Y 1 23G MÁS INSERTO.,INVIMA 2016M-0012015-R1,20020734-5
C525250,B-VITPLUS,CAJA X 6SIN DATOAMPOLLAS DE VIDRIO AMBAR TIPO I XSIN DATO2ML DE SOLUCION INYECTABLE.,INVIMA 2013M-0002159-R1,19933859-3
C265441,TYROCET® 30 MG TABLETAS RECUBIERTAS,COMERCIAL: CAJA POR 30 TABLETAS RECUBIERTA EN BLISTER PVC/PE/PVDC-ALU,INVIMA 2018M-0018646,20132268-3
C630223,OFTAFLOX®UNGUENTO,CAJA PLEGADIZA DE CARTULINA CON UN TUBO COLAPSIBLE DE ALUMINIO X 5 G.,INVIMA 2021M-0004978-R2,19952888-1
C700009,LEVOTIROXINA 25 MCG TABLETAS,CAJA PLEGADIZA POR 150 TABLETAS EN BLISTER ALU/ALU POR 30 TABLETAS,INVIMA 2017M-0012368-R1,20027645-39
C99907801,XELJANZ®5MG,FRASCO BLANCO DE HDPE CON 60 TABLETAS RECUBIERTAS,INVIMA 2019M-0014423-R1,20059967-14
C020083,COMBIGAN ®,CAJA POR UN FRASCO GOTERO EN POLIETILENO DE BAJA DENSIDAD COLOR BLANCO Y TAPA DE POLIESTIRENO COLOR AZUL. POR 5 ML,INVIMA 2022M-0005447-R2,19956212-2
C515481,OLMETECANLO 40 MG/ 5MG,CAJASIN DATOXSIN DATO30SIN DATOTABLETAS EN BLISTERSIN DATOALUMINIO/ALUMINIO,INVIMA 2023M-0011974-R2,20022571-3
C630150,GLICOLIC®-H LOCION,CAJA CON UN FRASCO PEAD BLANCO CON TAPA DISC TOP EN POLIPROPILENO (PP). CUERPO DE COLOR VERDE CLARO Y SOBRETAPA EN POLIPROPILENO INCOLORO PORSIN DATO60 ML.,INVIMA 2017M-005950-R2,56220-3
C105601,ZIFLUVIS 200 MG,ESTUCHE DE CARTÓN CARTULINA POR 10 SOBRES. CON 3 G DE GRANULADO CADA UNO.,INVIMA 2023M-0009352-R1,20003533-1
C341345,OLANZAPINA10 MG TABLETAS RECUBIERTAS,CAJA PLEGADIZA DE CARTULINA PORSIN DATO60 TABLETAS EN BLISTER PVC - PVDC BLANCO OPACO / ALUMINIO + INSERTO.,INVIMA 2021M-0007233-R1,19974415-3
C142455,VITATRIOL® UNGÜENTO OFTALMICO,CAJA PLEGADIZA POR UN TUBO DE ALUMINIO BLANCO CON RECUBRIMIENTO INTERNO Y TAPASIN DATODE PEAD BLANCA. POR 3.5 G DE UNGÜENTO.,INVIMA 2023M-0014276-R2,20059505-1
C11521,CEFTRIAXONA PARA INYECCION1000 MG,CAJA X 50 VIALES EN VIDRIO TIPO I CON POLVO PARA RECONSTITUIR EQUIVALENTE A 1G DE CEFTRIAXONA C/U,INVIMA 2019M-0000406-R2,19919587-1
C150203,COMPLEBREZ 6MCG/100 MCG INHALACION PRESURIZADA,CAJA CON UN CONTENEDOR DE ALUMINIO CON VÁLVULA DOSIFICADORA QUE SUMINISTRA 150 DOSIS MEDIDAS,INVIMA 2016M-0017395,20102025-2
C125718,TRAYENTA®,CAJA XSIN DATO30 TABLETAS RECUBIERTASSIN DATOEN BLISTERSIN DATOALU/ALU,INVIMA 2023M-0012597-R2,20023511-3
C9991249,ACIDO RETINOICO 0.05% LOCION,FRASCO PLASTICO PET AMBAR POR 60 ML.,INVIMA 2016M-0000329-R2,19914896-1
C300020,CLOZAPINA TABLETAS 100 MG,CAJA PORSIN DATO100SIN DATOTABLETAS EN BLISTER PVC TRANSPARENTE - ALUMINIO.,INVIMA 2021M-0007242-R1,19974655-3
485100,OQ-SEINA®SOLUCION OFTALMICA,CAJA CON UN FRASCO EN POLIETILENO DE BAJA DENSIDAD BLANCO PORSIN DATO15 ML. PROVISTO DE SU RESPECTIVA SUBTAPA CAPILAR EN ALATHON COLOR NATURAL Y TAPA CON ANILLO EN POLIPROPILENO BLANCA.,INVIMA 2022M-011419-R4,36305-1
C121394,XAROBAN®15,1R1019501006101- RIVAROXABAN 15SIN DATOMG TABLETAS DE LIBERACION NO MODIFICADA ORAL (XAROBAN) TABLETA 1 U / CAJA X 30 - CAJA POR 30 TABLETASSIN DATORECUBIERTASSIN DATOEN 2 BLISTERSSIN DATODE PVC/PCTFE/ALUMINIOSIN DATO POR 15 TABLETAS RECUBIERTAS C/U,INVIMA 2022M-0020790,20177233-7
C125453,MICARDIS AMLO® 80MG/10MG,PRESENTACIÓN COMERCIAL: CAJA POR BLISTER ALUMINIO/ALUMINIO POR 28 TABLETAS.,INVIMA 2020M-0011059-R2,20017104-2
C150380,INFLACOR®RETARDINYECTABLE 1 ML,CAJA POR 100 AMPOLLAS DE VIDRIO TIPO I INCOLORO POR 1 ML CADA UNA,INVIMA 2021M-0009967-R1,20009479-3
C7003251,IMIPRAMINA CLORHIDRATO TABLETAS 25 MG,CAJA PLEGADIZA POR 100 TABLETAS EN BLISTER PVC/ALUMINIO POR 10 TABLETAS CADA UNO,INVIMA 2015M-0003446 R-1,19940399-2
C290464,MILPAX®NF,CAJA PLEGADIZA POR 12 SOBRES EN P-601 (POLIÉSTER-ALUMINIO-POLIETILENO) POR 10 ML,INVIMA 2023M-0017399-R1,20098076-7
C0600641,RUPAFIN® RUPATADINA 1MG/ML SOLUCIÓN ORAL,1R1026461000100 RUPATADINA 100SIN DATOMG OTRAS SOLUCIONES ORAL (RUPAFIN) FRASCO 120 ML / CAJA X 1 (INCLUYE JERINGA DOSIFICADORA). CAJA PLEGADIZA CON FRASCO PET ÁMBAR POR 120 ML. CON TAPÓN PERFORADO TRANSPARENTE EN PEBD. TAPA CON SISTEMA DE CIERRE A PRUEBA DE NIÑOS EN PEAD COLOR BLANCO/AMARILLO Y JERINGA POR 5 ML GRADUADA PARA 0.25 ML. CON CILINDRO EN PP Y ÉMBOLO EN PEAD TRANSPARENTE,INVIMA 2023M-0018520-R1,20123806-1
C0932,STELARA® 45 MG/0.5 ML,CAJA X 1 JERINGA PRELLENADA (45MG/0.5ML),INVIMA 2023MBT-0010789-R1,20009810-9
C695290,IBUFLASH UF®,CAJA POR 18 CÁPSULAS BLANDAS. EN BLISTER PVC/PVDC - ALUMINIO POR 2 CÁPSULAS,INVIMA 2019M-0014060-R1,20040731-34
C004260,ZYLOPRIM 100MG TABLETAS,1A1040261000100- ALOPURINOL 100 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (ZYLOPRIM) TABLETA 1 U / CAJA X 60 -CAJA DE CARTÓNSIN DATOPOR 60 TABLETAS CON 6SIN DATOBLÍSTERS TRANSPARENTE DE POLICLORURO DE VINILO (PVC) / LÁMINA DE ALUMINIO POR 10 TABLETAS C/U,INVIMA 2022M-0020805,20222454-1
C080727,IFOSFAMIDA 1 G,CAJA X 1 FRASCO VIAL DE VIDRIO TIPO I. AMBAR POR 1G,INVIMA 2014M-0015046,20062271-1
C9990980,MEDROXIPROGESTERONA 5 MG TABLETAS,ESTUCHE POR 30 TABLETAS EN BLISTER PVC/ALUMINIO X 10 TABLETAS C/U.,INVIMA 2023M-0009149-R2,19999216-1
C12401,URBADAN®,CAJA POR 20 TABLETAS EN BLISTER PVC INCOLORO / ALUMINIO TERMOSELLABLE,INVIMA 2022M-000481-R4,29114-6
C630015,AMOXIDAL DUO® COMPRIMIDOS,CAJA POR 14 COMPRIMIDOS RECUBIERTOS EN BLISTER AL /PVC,INVIMA 2020M-014496-R3,19908092-3
C395008,FUNGITRAL® 1G/100 ML,CAJA CON 1 FRASCO DE VIDRIO ÁMBAR TIPO III X 150 ML DE SOLUCIÓN ORAL SABOR MANDARINA. TAPA PP BLANCA CON LINER EVA AZUL + COPA DOSIFICADORA PLÁSTICA (PP).,INVIMA 2021M-0016366-R1,20095994-1
C515570,VIAGRA® 100MG TABLETA RECUBIERTA,CAJA DE CARTÓN POR 1 TABLETA EN BLISTER ACLAR/ALUMINIO,INVIMA 2018M-010827-R2,227589-1
C270219,EMGALITY,CAJA POR 1 INYECTOR (PLUMA) PRELLENADO DESCARTABLE DE 1 ML,INVIMA 2021MBT-0000029,20155001-2
C140170,MELCOX 15 MG TABLETAS,CAJA POR 250 TABLETAS EN BLISTER DE ALUMINIO PVC/PVDC INCOLORO. 25 BLISTER POR 10 TABLETAS.,INVIMA 2023M-0006201-R2,19965075-7
C150140,DESLORAN® TABLETAS RECUBIERTAS 5 MG,CAJA X 10 TABLETAS EN BLISTER ACLAR/ALUMINIO.,INVIMA 2021M-0001486-R2,19929010-2
C320068,IMBRUVICA® 560 MG TABLETAS RECUBIERTAS,PRESENTACIÓN X 28 TABLETAS: DOS BLISTERES CONSIN DATO7 TABLETAS CADA UNO EN UN BLISTER TIPO BILLETERA PARA UN TOTAL DE DOS BILLETERAS PORSIN DATO14 TABLETAS EMPACADAS EN UNA CAJA DE CARTON,INVIMA 2021M-0020434,20175246-1
C9990069,DOCETAXEL 80MG/4ML,CAJA POR UN VIAL DE VIDRIO TIPO I. CON AGRAFE DE ALUMINIO Y TAPA TIPO FLIP OFF X 4ML SOLUCIÓN,INVIMA 2015M-0015763,20064460-2
C014042,CABOMETYX 60 MG,1C1038441000100- CABOZANTINIB 60SIN DATOMG TABLETAS DE LIBERACION NO MODIFICADA ORAL (CABOMETYX) TABLETA 1 U / CAJA X 30 - CAJASIN DATOCONSIN DATOUN FRASCO BLANCO DE HDPE+ SILICA GEL CON TAPA BLANCASIN DATOA PRUEBA DE NIÑOSSIN DATODE POLIPROPILENO + ALUMINIO POR 30SIN DATOTABLETAS DE CABOZANTINIB 60 MG,INVIMA 2021M-0020421,20172869-3
C901657,LINCOMICINA 300MG/ 1 ML.,CAJA PLEGADIZA CON 10 AMPOLLAS DE VIDRIO TRANSPARENTE TIPO I. POR 1 ML. DE SOLUCION.,INVIMA 2023M- 011523-R2,220303-6
C430126,TIROXIN® 100 MCG TABLETAS,GENÉRICO: CAJA POR 300 TABLETAS EN BLÍSTER DE ALUMINIO/PVC/PE/PVDC AMARILLO CON 10 BLÍSTER POR 30 TABLETAS CADA UNO .,INVIMA 2018M-005064-R2,42722-23
C4657511,KISQALI 200 MG TABLETAS RECUBIERTAS,1R102294/1000/104: CAJA POR 63 TABLETAS RECUBIERTAS ENSIN DATOBLISTER DE PCTFE/PVC POR 21 TABLETAS CADA UNO.SIN DATO,INVIMA 2018M-0018489,20115059-1
4951562,HIALTEARS ®,CAJA CON UN FRASCO GOTERO EN PEBD POR 15 ML,INVIMA 2019M-0013308-R1,20047756-5
C015601,CEFEPIME 1 G,CAJA PLEGADIZA X 10 FRASCOS VIAL X 1 G,INVIMA 2023M-0005645-R2,19963653-4
C255104,NUTRACORT LOCION,FRASCO BLANCO DE POLIETILENO DE ALTA DENSIDAD POR 120 ML,INVIMA 2020 M-002169-R4,33030-2
C10464,TRAMADOL CÁPSULAS X 50 MG.,CAJA X 10 CAPSULAS EN BLISTER PVC / ALUMINIO,INVIMA 2021M-000897-R3,51716-1
130250,ORENCIA® 250 MG - POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE INTRAVENOSA,KIT CON FRASCO VIAL DE VIDRIO TIPO I. TAPÓN FLUOROBUTILO. FLIP-OFF DE ALUMINIO DESIN DATO250 MG DE ABATACEPT + JERINGA DESECHABLE LIBRE DE SILICONA,INVIMA 2019M-0007186-R1,19976227-1
901547,REFLUFIN® PLUS SUSPENSION,FRASCO PEAD BLANCO X 240ML CON TAPA DE SEGURIDAD Nº 38 BLANCA DE POLIPROPILENO CON CIERRE DE SEGURIDAD Y LINNER INCORPORADO,INVIMA 2021M-0009555-R1,19998587-2
C01785,DIPIRONASOLUCION INYECTABLE 2.5 G / 5 ML,CAJA POR 5 AMPOLLAS DE VIDRIO AMBAR TIPO I POR 5 ML,INVIMA 2020M-0010107-R1,20007276-2
C01128,TOFEDOL ®1G/ 2 ML SOLUCION INYECTABLE,CAJA POR 1 AMPOLLAS DE VIDRIO AMBAR TIPO I POR 2 ML.,INVIMA 2021M-0016754-R1,20089329-1
50015,SODIO CLORURO AL 0.9%,BOLSA DE POLIETILENO DE BAJA DENSIDAD (PEBD) ATÓXICO CON TAPA CABEZA EURO CON FOIL X250 ML,INVIMA 2021M-0014332-R1,20055558-7
500721,SODIO CLORURO AL 0.9%,BOLSA GRADO MÉDICO X 500 MLSIN DATOEN POLIVINILCLORURO (PVC )CON SOBREBOLSA DE POLIETILENO DE ALTA DENSIDAD(PEAD),INVIMA 2021M-0014332-R1,20055558-2
C053398,AZEC®,2A1029271001100: CAJA POR 1 FRASCO DE VIDRIO COLOR ÁMBAR TIPO III POR 30 ML CON BOMBA SPRAY PLÁSTICA COLOR BLANCO Y APLICADOR NASAL POR 120 DOSIS.,INVIMA 2019M-0019286,20142975-1
C10359,FIXAMICIN HC GOTAS OTICAS,CAJA PLEGADIZA CON FRASCO GOTERO PEBD POR 10 ML,INVIMA 2023M-0003164-R2,19943525-2
